Author,No. Papers,Notes,OA_Profile,OA_ID,ORCID,Display_name,Display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,ID-1542,ID-1815,ID-1833,ID-1900,ID-1918,ID-1921,ID-1922,ID-1923,ID-1934,ID-1936,ID-1937,ID-1954,ID-1955,ID-1957,ID-1959,ID-1960,ID-1961,ID-1962,ID-1963,ID-1964,ID-1965,ID-1966,ID-1967,ID-1968,ID-1969,ID-1970,ID-1971,ID-1972,ID-1973,ID-1974,ID-1975,ID-1976,ID-1977,ID-1978,ID-1979,ID-1980,ID-1981,ID-1982,affiliation-1542,affiliation-1815,affiliation-1833,affiliation-1900,affiliation-1918,affiliation-1921,affiliation-1922,affiliation-1923,affiliation-1934,affiliation-1936,affiliation-1937,affiliation-1954,affiliation-1955,affiliation-1957,affiliation-1959,affiliation-1960,affiliation-1961,affiliation-1962,affiliation-1963,affiliation-1964,affiliation-1965,affiliation-1966,affiliation-1967,affiliation-1968,affiliation-1969,affiliation-1970,affiliation-1971,affiliation-1972,affiliation-1973,affiliation-1974,affiliation-1975,affiliation-1976,affiliation-1977,affiliation-1978,affiliation-1979,affiliation-1980,affiliation-1981,affiliation-1982,unique_affiliation_count,all_china,some_china,some_usa,all_countries,affiliation_display_name_1982,affiliation_id_1982,affiliation_country_1982,affiliation_display_name_1981,affiliation_id_1981,affiliation_country_1981,affiliation_display_name_1980,affiliation_id_1980,affiliation_country_1980,affiliation_display_name_1979,affiliation_id_1979,affiliation_country_1979,affiliation_display_name_1978,affiliation_id_1978,affiliation_country_1978,affiliation_display_name_1977,affiliation_id_1977,affiliation_country_1977,affiliation_display_name_1976,affiliation_id_1976,affiliation_country_1976,affiliation_display_name_1975,affiliation_id_1975,affiliation_country_1975,affiliation_display_name_1974,affiliation_id_1974,affiliation_country_1974,affiliation_display_name_1973,affiliation_id_1973,affiliation_country_1973,affiliation_display_name_1972,affiliation_id_1972,affiliation_country_1972,affiliation_display_name_1971,affiliation_id_1971,affiliation_country_1971,affiliation_display_name_1970,affiliation_id_1970,affiliation_country_1970,affiliation_display_name_1969,affiliation_id_1969,affiliation_country_1969,affiliation_display_name_1968,affiliation_id_1968,affiliation_country_1968,affiliation_display_name_1967,affiliation_id_1967,affiliation_country_1967,affiliation_display_name_1966,affiliation_id_1966,affiliation_country_1966,affiliation_display_name_1965,affiliation_id_1965,affiliation_country_1965,affiliation_display_name_1964,affiliation_id_1964,affiliation_country_1964,affiliation_display_name_1963,affiliation_id_1963,affiliation_country_1963,affiliation_display_name_1962,affiliation_id_1962,affiliation_country_1962,affiliation_display_name_1961,affiliation_id_1961,affiliation_country_1961,affiliation_display_name_1960,affiliation_id_1960,affiliation_country_1960,affiliation_display_name_1959,affiliation_id_1959,affiliation_country_1959,affiliation_display_name_1957,affiliation_id_1957,affiliation_country_1957,affiliation_display_name_1955,affiliation_id_1955,affiliation_country_1955,affiliation_display_name_1954,affiliation_id_1954,affiliation_country_1954,affiliation_display_name_1937,affiliation_id_1937,affiliation_country_1937,affiliation_display_name_1936,affiliation_id_1936,affiliation_country_1936,affiliation_display_name_1934,affiliation_id_1934,affiliation_country_1934,affiliation_display_name_1923,affiliation_id_1923,affiliation_country_1923,affiliation_display_name_1922,affiliation_id_1922,affiliation_country_1922,affiliation_display_name_1921,affiliation_id_1921,affiliation_country_1921,affiliation_display_name_1918,affiliation_id_1918,affiliation_country_1918,affiliation_display_name_1900,affiliation_id_1900,affiliation_country_1900,affiliation_display_name_1833,affiliation_id_1833,affiliation_country_1833,affiliation_display_name_1815,affiliation_id_1815,affiliation_country_1815,affiliation_display_name_1542,affiliation_id_1542,affiliation_country_1542,affiliation_data,unique_country_count,all_usa,Most Recent Affiliation Year,Most Recent Affiliation,Most Recent Affiliation Country,affiliation_id_1983,affiliation_country_1983,affiliation_display_name_1983,affiliation_id_1984,affiliation_country_1984,affiliation_display_name_1984,affiliation_id_1985,affiliation_country_1985,affiliation_display_name_1985,affiliation_id_1986,affiliation_country_1986,affiliation_display_name_1986,affiliation_id_1987,affiliation_country_1987,affiliation_display_name_1987,affiliation_id_1988,affiliation_country_1988,affiliation_display_name_1988,affiliation_id_1989,affiliation_country_1989,affiliation_display_name_1989,affiliation_id_1990,affiliation_country_1990,affiliation_display_name_1990,affiliation_id_1991,affiliation_country_1991,affiliation_display_name_1991,affiliation_id_1992,affiliation_country_1992,affiliation_display_name_1992,affiliation_id_1993,affiliation_country_1993,affiliation_display_name_1993,affiliation_id_1994,affiliation_country_1994,affiliation_display_name_1994,affiliation_id_1995,affiliation_country_1995,affiliation_display_name_1995,affiliation_id_1996,affiliation_country_1996,affiliation_display_name_1996,affiliation_id_1997,affiliation_country_1997,affiliation_display_name_1997,affiliation_id_1998,affiliation_country_1998,affiliation_display_name_1998,affiliation_id_1999,affiliation_country_1999,affiliation_display_name_1999,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_2000,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2001,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2002,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2003,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2004,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2005,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2006,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2007,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2008,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2009,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2010,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2011,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2012,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2013,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2014,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2015,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2016,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2017,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2018,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2019,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2020,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2021,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2022,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2023,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2024,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2025,affiliation_id_2026,affiliation_country_2026,affiliation_display_name_2026
Yang Bi,1,,https://openalex.org/A5103245055,A5103245055,https://orcid.org/0000-0001-7128-3683,Yang Bi,"B. Yang, Bi S. Yang, Bi Yang, Brian Yang, Yang Bi, Yang, Brian",46,102,0.9375,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,False,True,True,"China, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2,False,2025,Shandong First Medical University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210131919,China,Xi'an University of Technology,https://openalex.org/I87445476,China,Xi'an Jiaotong University,https://openalex.org/I4210133467,China,Xi'an Aeronautical University,,,,,,,https://openalex.org/I4210133467,China,Xi'an Aeronautical University,https://openalex.org/I17145004,China,Northwestern Polytechnical University,https://openalex.org/I96733725,China,Shanghai Maritime University,https://openalex.org/I17145004,China,Northwestern Polytechnical University,https://openalex.org/I96733725,China,Shanghai Maritime University,https://openalex.org/I17145004,China,Northwestern Polytechnical University,,,,https://openalex.org/I4210133467,China,Xi'an Aeronautical University,https://openalex.org/I17145004,China,Northwestern Polytechnical University,https://openalex.org/I4210133467,China,Xi'an Aeronautical University,https://openalex.org/I4210133467,China,Xi'an Aeronautical University,https://openalex.org/I99418890,United States,Northwestern Polytechnic University,https://openalex.org/I4210138332,China,Guizhou Provincial Meteorological Bureau,https://openalex.org/I4210163399,China,Shandong First Medical University,,,
Yangfan He,1,,https://openalex.org/A5100642695,A5100642695,https://orcid.org/0000-0002-3153-5177,Yangfan He,"He, Yangfan, He, Yuchen, Shao, Zheng, Y.A. He, Yangfan He, YuChen He, Yuchen He, Yu‐Chen He, Yu‐chen He",70,309,2.574468085106383,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,False,True,True,"China, United Kingdom, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3,False,2025,Oldham Council,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I1316902750,United States,Cleveland Clinic,https://openalex.org/I87445476,China,Xi'an Jiaotong University,https://openalex.org/I87445476,China,Xi'an Jiaotong University,https://openalex.org/I87445476,China,Xi'an Jiaotong University,https://openalex.org/I87445476,China,Xi'an Jiaotong University,https://openalex.org/I87445476,China,Xi'an Jiaotong University,,,,,,,https://openalex.org/I4210119942,China,Wuhan Textile University,https://openalex.org/I51556381,United States,University of Virginia,https://openalex.org/I51556381,United States,University of Virginia,https://openalex.org/I4210164339,United Kingdom,Oldham Council,,,
Yann Dubois,2,,https://openalex.org/A5032176444,A5032176444,,Yann Dubois,"Cha, Young, Dubois, Yann, Dubois, Yann Francis Eric, Yann Dubois",71,308,14.75,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,False,False,False,"Canada, France, Israel, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4,False,2024,University of Lausanne,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I57825437,Switzerland,University of Neuchâtel,,,,https://openalex.org/I5124864,Switzerland,École Polytechnique Fédérale de Lausanne,https://openalex.org/I5124864,Switzerland,École Polytechnique Fédérale de Lausanne,https://openalex.org/I5124864,Switzerland,École Polytechnique Fédérale de Lausanne,https://openalex.org/I5124864,Switzerland,École Polytechnique Fédérale de Lausanne,https://openalex.org/I4210131837,France,Etablissements de Santé Mentale,https://openalex.org/I2252078561,Israel,Meta (Israel),https://openalex.org/I2252078561,Israel,Meta (Israel),https://openalex.org/I4210127509,Canada,Vector Institute,,,,,,,https://openalex.org/I97565354,Switzerland,University of Lausanne,,,,,,
Yaodong Yu,1,,https://openalex.org/A5101008730,A5101008730,,Yaodong Yu,"Yaodong Yu, Yu, Yaodong",46,204,1.0625,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,False,True,True,"China, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2,False,2025,"University of California, Berkeley",United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I87216513,United States,Michigan State University,https://openalex.org/I87216513,United States,Michigan State University,,,,,,,,,,,,,,,,https://openalex.org/I95457486,United States,"University of California, Berkeley",https://openalex.org/I9224756,China,Northeastern University,,,,https://openalex.org/I95457486,United States,"University of California, Berkeley",,,
Yara Khakbaz,1,,https://openalex.org/A5122315274,A5122315274,,Yara Khakbaz,"Khakbaz, Yara, Yara Khakbaz",2,3,1.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Patil,1,,https://openalex.org/A5037644608,A5037644608,https://orcid.org/0000-0003-4963-2327,Yash Patil,"Patil, Yash, Patil, Yash J., Y J Patil, Y Patil, Y. Patil, Yash J Patil, Yash J. Patil, Yash Patil, Yoganand Patil, Yuvaraj Patil",116,720,8.5,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,False,False,True,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,True,2025,University of Cincinnati Medical Center,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I39422238,United States,University of Illinois Chicago,https://openalex.org/I39422238,United States,University of Illinois Chicago,,,,https://openalex.org/I93320256,United States,University of Tampa,,,,,,,,,,https://openalex.org/I2613432,United States,University of South Florida,https://openalex.org/I92156820,United States,University of Cincinnati Medical Center,https://openalex.org/I92156820,United States,University of Cincinnati Medical Center,https://openalex.org/I63135867,United States,University of Cincinnati,https://openalex.org/I63135867,United States,University of Cincinnati,https://openalex.org/I92156820,United States,University of Cincinnati Medical Center,https://openalex.org/I92156820,United States,University of Cincinnati Medical Center,https://openalex.org/I92156820,United States,University of Cincinnati Medical Center,https://openalex.org/I92156820,United States,University of Cincinnati Medical Center,https://openalex.org/I92156820,United States,University of Cincinnati Medical Center,https://openalex.org/I92156820,United States,University of Cincinnati Medical Center,https://openalex.org/I92156820,United States,University of Cincinnati Medical Center,https://openalex.org/I92156820,United States,University of Cincinnati Medical Center,https://openalex.org/I63135867,United States,University of Cincinnati,https://openalex.org/I92156820,United States,University of Cincinnati Medical Center,https://openalex.org/I92156820,United States,University of Cincinnati Medical Center,,,
Yi Chen,1,,https://openalex.org/A5002783173,A5002783173,https://orcid.org/0000-0001-7960-8374,Yi Chen,"Chen, L., Chen, Leo, Chen, Yi, Kun Chen, Leo Chen, Leo Yi Chen, Min Liu, Shanshan Cao, Yi CHEN, Yi Chen",271,3289,4.90625,29,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,False,True,True,"China, Japan, Taiwan, United Kingdom, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5,False,2026,ZTT (China),China,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I150229711,China,University of Electronic Science and Technology of China,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I27429435,Japan,Kyoto Institute of Technology,,,,,,,https://openalex.org/I2801996072,United States,LDS Hospital,,,,https://openalex.org/I12097938,United States,West Virginia University,,,,https://openalex.org/I7882870,United Kingdom,University of Glasgow,https://openalex.org/I4210142504,China,Semiconductor Manufacturing International (China),https://openalex.org/I4210120917,Taiwan,Taiwan Semiconductor Manufacturing Company (Taiwan),https://openalex.org/I165799507,United States,Rensselaer Polytechnic Institute,https://openalex.org/I82880672,China,Beihang University,https://openalex.org/I7882870,United Kingdom,University of Glasgow,https://openalex.org/I4210124847,China,National Engineering Research Center of Electromagnetic Radiation Control Materials,https://openalex.org/I76214153,China,Lanzhou University,https://openalex.org/I4210157054,China,UK-China Guangdong CCUS Centre,https://openalex.org/I2799850029,China,Dongguan University of Technology,https://openalex.org/I881766915,China,Nanjing University,https://openalex.org/I4210137309,China,National Center for Climate Change Strategy and International Cooperation,https://openalex.org/I95457486,United States,"University of California, Berkeley",https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I9842412,China,Nanjing University of Aeronautics and Astronautics,https://openalex.org/I84884186,United Kingdom,Newcastle University,https://openalex.org/I92178344,China,Anhui University of Technology,https://openalex.org/I96478251,China,Hunan Institute of Technology,https://openalex.org/I4210155468,China,ZTT (China)
Yifan Wu,1,,https://openalex.org/A5122382141,A5122382141,,Yifan Wu,"Wu, Yifan, Yifan Wu",2,3,1.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yilei Qian,2,,https://openalex.org/A5009179509,A5009179509,https://orcid.org/0000-0003-2853-3362,Yilei Qian,"Qian, Yilei, Yilei Qian",7,158,20.0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,True,True,False,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2025,University of Electronic Science and Technology of China,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I116953780,China,Tongji University,,,,https://openalex.org/I905225518,China,Shanghai University of International Business and Economics,https://openalex.org/I150229711,China,University of Electronic Science and Technology of China,,,
Yin Tat Lee,1,,https://openalex.org/A5122359513,A5122359513,,Yin Tat Lee,"Lee, Yin Tat, Yin Tat Lee",2,3,1.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yinghai Lu,1,,https://openalex.org/A5027861933,A5027861933,https://orcid.org/0009-0003-1993-8648,Yinghai Lu,"Bai, Yu, Lu, Yinghai, Yinghai Lu",5,3524,264.0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,False,False,True,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,True,2024,Menlo School,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210099336,United States,Menlo School,,,,,,
Yining Chen,1,,https://openalex.org/A5101853231,A5101853231,https://orcid.org/0000-0002-3435-2851,Yining Chen,"Chen, Yining, He, Yuchen, Yi-Ning Chen, Yi-ning Chen, Yining Chen",91,1282,13.166666666666666,20,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,False,True,True,"China, United Kingdom, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3,False,2025,Zhejiang University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I108688024,China,Qingdao University,,,,https://openalex.org/I4210106879,United States,Ohio University,,,,,,,https://openalex.org/I4210106879,United States,Ohio University,https://openalex.org/I4210113369,China,Microsoft Research Asia (China),https://openalex.org/I4210113369,China,Microsoft Research Asia (China),https://openalex.org/I4210113369,China,Microsoft Research Asia (China),,,,https://openalex.org/I4402553993,China,Guangdong Teachers College of Foreign Language and Arts,https://openalex.org/I4402553993,China,Guangdong Teachers College of Foreign Language and Arts,,,,,,,,,,,,,https://openalex.org/I9842412,China,Nanjing University of Aeronautics and Astronautics,,,,https://openalex.org/I98677209,United Kingdom,University of Edinburgh,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I76130692,China,Zhejiang University,https://openalex.org/I909854389,United Kingdom,London School of Economics and Political Science,https://openalex.org/I76130692,China,Zhejiang University,https://openalex.org/I76130692,China,Zhejiang University,,,
Yizhen Zhang,1,,https://openalex.org/A5122377546,A5122377546,,Yizhen Zhang,"Yizhen Zhang, Zhang, Yizhen",2,3,1.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yizhong Xiong,1,,https://openalex.org/A5122394597,A5122394597,,Yizhong Xiong,"Xiong, Yizhong, Yizhong Xiong",2,3,1.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yongjik Kim,1,,https://openalex.org/A5054973256,A5054973256,,Yongjik Kim,"Go, Y., Kim, Yongjik, Yongjik Kim",3,98,47.5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,False,False,False,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2026,Korean Academy of Science and Technology,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I3131980609,South Korea,Korean Academy of Science and Technology
Yonglong Tian,1,,https://openalex.org/A5122399877,A5122399877,,Yonglong Tian,"Tian, Yonglong, Yonglong Tian",6,5,1.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youlong Cheng,1,,https://openalex.org/A5011104452,A5011104452,,Youlong Cheng,"Cheng, Youlong, Youlong Cheng",15,1680,95.0,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,False,False,True,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,True,2020,Google (United States),United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),,,,,,,,,,,,,,,,,,
